2018/03/19 09:22:19 [error] 10341#0: *203 connect() failed (111: Connection refused) while connecting to upstream, client: 113.31.27.249, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:22:24 [error] 10341#0: *205 connect() failed (111: Connection refused) while connecting to upstream, client: 35.226.23.240, server: localhost, request: "GET /images/_small/watches_family_/Omega/Omega-123-10-35-20-52-002-Men-Constellation.jpg" HTTP/1.1", upstream: "http://127.0.0.1:3000/images/_small/watches_family_/Omega/Omega-123-10-35-20-52-002-Men-Constellation.jpg"", host: "www.rdvlive.com"
2018/03/19 09:22:25 [error] 10341#0: *207 connect() failed (111: Connection refused) while connecting to upstream, client: 222.186.129.155, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:22:30 [error] 10341#0: *209 connect() failed (111: Connection refused) while connecting to upstream, client: 61.130.28.141, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:22:34 [error] 10341#0: *211 connect() failed (111: Connection refused) while connecting to upstream, client: 222.88.91.50, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:22:38 [error] 10341#0: *213 connect() failed (111: Connection refused) while connecting to upstream, client: 141.8.142.85, server: localhost, request: "GET /robots.txt HTTP/1.1", upstream: "http://127.0.0.1:3000/robots.txt", host: "www.frzik.com"
2018/03/19 09:22:42 [error] 10341#0: *213 connect() failed (111: Connection refused) while connecting to upstream, client: 141.8.142.85, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:3000/favicon.ico", host: "www.frzik.com"
2018/03/19 09:22:58 [error] 10341#0: *216 connect() failed (111: Connection refused) while connecting to upstream, client: 202.109.166.201, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:23:10 [error] 10341#0: *218 connect() failed (111: Connection refused) while connecting to upstream, client: 122.228.199.114, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:23:20 [error] 10341#0: *220 connect() failed (111: Connection refused) while connecting to upstream, client: 113.31.27.249, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:23:25 [error] 10341#0: *223 connect() failed (111: Connection refused) while connecting to upstream, client: 222.186.129.155, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
